id_contrat,numero_contrat,id_entreprise,id_agence,id_conseiller,id_produit,date_octroi,date_echeance,montant_principal,taux_interet,encours_restant,statut
1,CON_000001,1,1,10,14,2022-02-02,2025-10-01,13150708.32,1.89,3069257.26,SAIN
2,CON_000002,2,1,11,5,2021-03-03,2024-08-30,827967.47,5.09,0.1,SAIN
3,CON_000003,3,1,10,1,2024-11-15,2025-01-14,114974.04,5.65,57622.04,SURVEILLANCE
4,CON_000004,5,1,10,8,2024-11-27,2025-02-26,2245907.09,6.27,1501169.42,SAIN
5,CON_000005,5,1,10,6,2024-06-19,2030-11-15,14825323.24,4.67,13822616.36,SAIN
6,CON_000006,8,1,11,1,2024-12-14,2025-07-14,1568590.84,7.05,1568590.84,SAIN
7,CON_000007,12,1,11,1,2024-12-06,2025-01-05,118619.85,7.62,118619.85,SAIN
8,CON_000008,13,1,10,11,2022-11-26,2025-10-25,149981.4,2.39,43922.78,SAIN
9,CON_000009,15,1,10,13,2024-05-19,2025-03-19,781305.8,0.84,234966.06,SAIN
10,CON_000010,16,1,11,4,2020-06-25,2028-06-21,12014829.23,6.37,6011822.94,SAIN
11,CON_000011,17,1,10,4,2024-09-11,2027-03-12,554532.52,5.82,502630.65,SAIN
12,CON_000012,18,1,11,11,2024-06-02,2025-01-31,153300.57,1.44,38463.16,SAIN
13,CON_000013,21,1,10,4,2016-08-01,2024-03-28,14221104.86,6.11,0.0,SAIN
14,CON_000014,24,1,11,3,2024-07-11,2025-02-08,91115.27,7.39,26433.74,SAIN
15,CON_000015,25,1,10,13,2024-07-04,2025-07-03,96661.65,1.27,56535.01,SAIN
16,CON_000016,25,1,10,3,2024-06-15,2025-03-15,105332.77,6.4,35672.68,SAIN
17,CON_000017,26,1,11,10,2024-11-05,2025-09-05,45883527.36,4.78,41376821.43,SAIN
18,CON_000018,26,1,11,1,2024-11-09,2025-01-08,4961836.3,7.67,2488821.49,SAIN
19,CON_000019,27,1,10,2,2024-06-24,2025-04-24,1238489.39,6.04,502869.58,SAIN
20,CON_000020,29,1,10,12,2024-10-25,2025-02-23,28027968.46,2.35,14041401.41,SAIN
21,CON_000021,30,1,11,6,2023-01-24,2028-06-22,9574951.76,3.86,6412877.71,SAIN
22,CON_000022,31,1,10,6,2024-06-17,2029-10-14,4219790.03,4.24,3863399.44,SAIN
23,CON_000023,36,1,11,10,2024-10-06,2025-01-05,8292895.06,5.32,2776535.29,SAIN
24,CON_000024,37,1,10,14,2021-08-17,2026-02-13,2260122.03,1.29,598606.67,SAIN
25,CON_000025,37,1,10,10,2024-10-17,2025-10-16,29943000.06,4.84,25052397.66,SAIN
26,CON_000026,38,1,11,10,2024-10-11,2025-02-09,3041924.43,4.56,1526730.89,SURVEILLANCE
27,CON_000027,40,1,11,7,2022-02-23,2028-08-21,9195654.01,3.91,5472227.29,SAIN
28,CON_000028,41,1,10,3,2024-07-04,2025-06-03,293538.2,7.32,162543.35,SAIN
29,CON_000029,42,1,11,7,2019-03-25,2024-07-21,4389201.95,4.42,0.0,SAIN
30,CON_000030,43,1,10,8,2023-08-02,2023-12-01,1802412.9,6.65,0.0,SAIN
31,CON_000031,44,1,11,4,2022-05-24,2023-12-22,12542546.55,4.88,0.0,SAIN
32,CON_000032,47,1,10,4,2023-02-20,2025-06-20,7912450.28,6.08,1791027.07,SAIN
33,CON_000033,47,1,10,8,2024-09-03,2025-02-02,808282.3,6.26,325838.42,SAIN
34,CON_000034,48,1,11,4,2024-04-08,2028-06-06,27722083.9,6.21,23752940.06,SAIN
35,CON_000035,49,1,10,14,2024-01-08,2027-02-05,1609686.76,1.31,1137900.35,SAIN
36,CON_000036,50,1,11,11,2024-09-02,2026-03-03,444281.3,1.6,370972.41,SAIN
37,CON_000037,50,1,11,11,2023-09-12,2025-05-12,334000.11,1.9,84493.46,SAIN
38,CON_000038,53,1,10,1,2024-11-28,2025-02-27,4906520.13,7.87,3281692.87,SAIN
39,CON_000039,56,1,11,10,2024-10-12,2025-01-11,337347.01,4.36,112857.07,SAIN
40,CON_000040,56,1,11,10,2024-09-27,2025-02-26,977862.31,4.89,393532.53,SAIN
41,CON_000041,57,1,10,11,2024-09-22,2025-04-22,6075427.23,1.72,3479129.65,SAIN
42,CON_000042,60,1,11,2,2024-10-17,2025-05-17,1836952.67,6.44,1319112.92,SAIN
43,CON_000043,61,1,10,7,2021-09-10,2028-05-08,15479796.24,4.62,8525925.49,SAIN
44,CON_000044,64,1,11,11,2023-05-05,2026-04-03,476043.11,1.5,220203.76,SAIN
45,CON_000045,64,1,11,3,2024-11-28,2025-11-27,865665.97,6.01,795492.75,SAIN
46,CON_000046,65,1,10,2,2024-12-28,2025-01-27,640107.64,8.37,640107.64,SAIN
47,CON_000047,67,1,10,12,2024-11-12,2025-01-11,3389593.89,2.54,1696588.71,SAIN
48,CON_000048,68,1,11,2,2024-09-11,2025-03-12,243342.7,7.58,122820.53,SAIN
49,CON_000049,70,1,11,4,2023-05-19,2030-01-14,5564106.44,5.61,4424108.64,SAIN
50,CON_000050,73,1,10,12,2024-07-21,2025-02-18,6066656.62,2.85,1743622.06,SAIN
51,CON_000051,75,1,10,12,2024-04-19,2025-03-19,4564177.84,1.53,1251126.78,SAIN
52,CON_000052,76,1,11,9,2024-12-12,2025-08-12,8579473.91,5.8,8579473.91,SAIN
53,CON_000053,79,1,10,6,2021-03-17,2028-02-12,21559597.61,3.68,11966333.59,NPL
54,CON_000054,80,1,11,1,2024-11-19,2025-01-18,92055.32,6.46,46151.21,SAIN
55,CON_000055,82,1,11,7,2021-05-02,2027-08-29,10358608.97,4.27,4842825.59,SAIN
56,CON_000056,82,1,11,11,2023-03-08,2025-07-06,4457244.54,1.53,1129263.6,SAIN
57,CON_000057,86,1,11,2,2024-12-12,2025-03-13,138905.7,7.95,138905.7,SAIN
58,CON_000058,88,1,11,5,2023-12-20,2026-03-19,9093655.19,4.46,5164250.31,SAIN
59,CON_000059,91,1,10,14,2024-08-01,2028-01-29,6239993.27,2.06,5664886.24,SAIN
60,CON_000060,94,1,11,11,2024-03-13,2025-06-12,806546.79,1.66,324626.98,SAIN
61,CON_000061,96,1,11,11,2023-12-03,2025-04-02,354006.32,1.89,89339.06,SAIN
62,CON_000062,96,1,11,13,2024-07-07,2025-02-04,79598.97,0.91,22785.68,SURVEILLANCE
63,CON_000063,97,1,10,11,2024-08-05,2025-02-03,889639.93,2.18,297623.76,SAIN
64,CON_000064,99,1,10,7,2023-02-06,2030-11-03,14474534.88,3.49,11394717.11,SAIN
65,CON_000065,100,1,11,1,2024-11-23,2025-01-22,213964.8,7.22,107303.27,SURVEILLANCE
66,CON_000066,102,1,11,3,2024-09-07,2025-02-06,76587.08,6.62,30887.86,SAIN
67,CON_000067,102,1,11,11,2022-11-03,2025-08-02,307899.15,2.17,76336.44,SAIN
68,CON_000068,103,1,10,1,2024-08-04,2025-01-03,419383.39,6.11,84730.82,SAIN
69,CON_000069,104,1,11,11,2024-12-16,2025-01-15,25078.18,2.32,25078.18,SAIN
70,CON_000070,105,1,10,7,2019-06-21,2029-06-16,26767979.22,4.75,14968178.57,NPL
71,CON_000071,108,1,11,1,2024-08-22,2025-04-22,104313.85,6.81,52747.2,SURVEILLANCE
72,CON_000072,110,1,11,2,2024-07-10,2025-02-07,67573.33,7.99,19628.02,SAIN
73,CON_000073,111,1,10,2,2024-10-19,2025-08-19,688096.15,8.28,554235.91,SAIN
74,CON_000074,112,1,11,12,2024-11-28,2025-01-27,3278243.67,2.52,1640841.11,SAIN
75,CON_000075,113,1,10,10,2024-10-11,2025-01-10,9470509.87,4.02,3167400.21,SURVEILLANCE
76,CON_000076,114,1,11,4,2019-11-07,2029-02-01,13131975.11,5.3,6712868.22,SAIN
77,CON_000077,115,1,10,6,2018-02-12,2026-07-10,651735.76,4.89,143871.68,SAIN
78,CON_000078,117,1,10,13,2024-11-03,2025-10-03,91856.06,1.34,83552.03,SAIN
79,CON_000079,119,1,10,14,2020-09-26,2024-12-24,5210159.28,1.2,0.0,SAIN
80,CON_000080,120,1,11,5,2023-09-19,2026-02-16,8613216.18,5.43,4298957.45,SAIN
81,CON_000081,121,1,10,11,2024-03-02,2026-08-31,1008662.95,1.12,709022.59,SAIN
82,CON_000082,122,1,11,11,2024-03-13,2025-11-11,746401.49,2.4,414209.28,SAIN
83,CON_000083,123,1,10,13,2024-04-15,2025-02-13,157636.38,1.26,31659.73,SAIN
84,CON_000084,126,1,11,2,2024-11-15,2025-04-16,177108.08,8.11,142162.03,SAIN
85,CON_000085,127,1,10,5,2023-07-24,2025-09-21,3491934.54,4.87,1250574.86,SAIN
86,CON_000086,129,1,10,7,2023-07-10,2027-09-07,11802483.38,3.51,7981443.85,SAIN
87,CON_000087,129,1,10,5,2018-02-28,2024-07-26,1844307.93,4.52,0.23,SAIN
88,CON_000088,130,1,11,11,2023-09-04,2025-09-02,8178108.19,1.45,3094599.61,SURVEILLANCE
89,CON_000089,132,1,11,3,2024-12-13,2025-08-13,103679.03,6.28,103679.03,SAIN
90,CON_000090,133,1,10,1,2024-10-12,2025-02-10,284580.17,6.14,258308.16,NPL
91,CON_000091,134,1,11,11,2024-07-05,2025-07-04,9222467.7,2.08,5403051.34,SAIN
92,CON_000092,140,1,11,1,2024-04-15,2025-03-15,1065346.99,7.56,297885.69,SAIN
93,CON_000093,143,1,10,1,2024-08-06,2025-04-06,3808482.46,5.81,1922635.55,SAIN
94,CON_000094,146,1,11,5,2022-08-08,2025-08-06,10297722.18,4.08,2398331.53,SAIN
95,CON_000095,147,1,10,1,2024-10-20,2025-05-20,587698.85,7.27,422312.69,SAIN
96,CON_000096,148,1,11,11,2024-04-23,2026-01-21,780742.73,1.14,665477.43,NPL
97,CON_000097,150,1,11,10,2024-08-19,2025-02-17,991916.21,5.89,333881.78,SAIN
98,CON_000098,151,1,10,3,2024-09-10,2025-02-09,85281.64,5.62,34351.91,SAIN
99,CON_000099,153,1,10,8,2024-05-02,2024-10-01,2144208.44,5.75,0.01,SAIN
100,CON_000100,153,1,10,4,2022-02-20,2024-11-19,1922915.0,6.33,0.16,SAIN
101,CON_000101,157,1,10,10,2024-11-27,2025-07-28,31298440.94,4.32,27435165.16,SAIN
102,CON_000102,158,1,11,7,2021-05-10,2028-09-05,3018376.59,3.85,1649497.49,SAIN
103,CON_000103,159,1,10,10,2024-03-06,2024-12-04,24674304.99,4.04,0.03,SAIN
104,CON_000104,160,1,11,1,2023-10-16,2024-01-15,215345.39,7.14,0.0,SAIN
105,CON_000105,161,1,10,1,2024-12-28,2025-07-28,311655.44,5.84,311655.44,SAIN
106,CON_000106,161,1,10,11,2022-08-12,2024-11-09,140291.96,1.98,0.1,SAIN
107,CON_000107,164,1,11,5,2024-03-18,2030-10-14,10847527.77,4.8,9777262.77,SAIN
108,CON_000108,165,1,10,9,2024-10-14,2025-01-13,5236356.33,4.7,1752279.55,SAIN
109,CON_000109,167,1,10,2,2024-10-23,2025-02-21,37701.45,6.67,18955.21,SAIN
110,CON_000110,167,1,10,11,2024-12-28,2025-01-27,12667.04,1.16,12667.04,SAIN
111,CON_000111,168,1,11,4,2022-05-24,2027-01-20,3773336.27,4.74,1787759.14,SAIN
112,CON_000112,169,1,10,13,2024-10-19,2025-06-19,366941.97,1.49,275547.7,SAIN
113,CON_000113,171,1,10,3,2024-10-03,2025-06-03,820026.38,7.11,618638.58,SAIN
114,CON_000114,178,1,11,6,2023-01-05,2027-12-03,4835887.5,4.74,3083199.02,SAIN
115,CON_000115,182,1,11,9,2024-11-25,2025-07-26,2093917.8,5.2,1836122.04,SAIN
116,CON_000116,184,1,11,3,2024-11-16,2025-11-15,901898.94,5.41,828586.14,SAIN
117,CON_000117,184,1,11,11,2023-02-20,2024-10-20,230572.46,2.01,0.0,SAIN
118,CON_000118,186,1,11,1,2024-08-01,2025-07-01,281828.18,6.95,181410.5,SAIN
119,CON_000119,186,1,11,1,2024-08-06,2025-06-06,96430.82,6.71,58502.49,SAIN
120,CON_000120,189,1,10,13,2024-10-03,2025-01-02,194354.72,1.74,64878.81,SAIN
121,CON_000121,191,1,10,3,2024-12-06,2025-05-07,68814.55,6.78,68814.55,SAIN
122,CON_000122,192,1,11,11,2023-01-17,2024-11-15,426893.13,1.02,0.08,SURVEILLANCE
123,CON_000123,193,1,10,13,2024-05-27,2025-05-26,280168.41,1.0,117077.24,SAIN
124,CON_000124,196,1,11,2,2024-07-06,2025-01-04,513408.7,7.97,86990.44,SAIN
125,CON_000125,199,1,10,2,2024-07-27,2025-05-27,507640.66,7.76,257910.2,SAIN
126,CON_000126,202,1,11,9,2024-11-10,2025-03-11,8414012.39,4.93,6323427.84,SAIN
127,CON_000127,203,1,10,10,2024-11-28,2025-02-27,25916739.19,5.47,17317085.78,SAIN
128,CON_000128,204,1,11,5,2023-07-22,2029-02-16,8661071.95,4.42,6661204.69,SAIN
129,CON_000129,206,1,11,2,2024-08-08,2025-02-06,318983.13,8.0,107743.81,SAIN
130,CON_000130,207,1,10,2,2024-12-25,2025-01-24,37049.36,6.78,37049.36,SAIN
131,CON_000131,209,1,10,6,2021-05-03,2026-05-01,21580091.48,3.58,6510799.62,SURVEILLANCE
132,CON_000132,211,1,10,11,2024-08-09,2025-02-07,242552.46,1.8,81093.31,SAIN
133,CON_000133,212,1,11,3,2024-06-28,2025-02-26,163354.61,6.48,41500.83,SURVEILLANCE
134,CON_000134,217,1,10,2,2024-11-23,2025-11-22,974243.16,6.05,895282.95,SAIN
