id_entreprise,ice,raison_sociale,forme_juridique,secteur_activite,segment,chiffre_affaires,nombre_employes,date_creation,ville,adresse,telephone,email,statut,id_agence,id_conseiller
1,373506211000015,Zilis Import-Export SNC,SARL,Commerce,PME,98437304.42,19,2021-02-13,Casablanca,"Zone Industrielle, N° 107, Route de Saint Nicole-la-Forêt, Casablanca, Maroc",0522704596,contact@zilisimportexport.ma,Actif,1,10
2,233815413000048,Taza Bâtiment SA,SNC,BTP,PME,5160671.43,147,2015-10-11,Casablanca,"Zone Industrielle, N° 444, Route de Hubert, Casablanca, Maroc",0522795612,contact@tazabatiment.ma,Actif,1,11
3,711072118000048,Société Maghreb de Logistique SARL AU,SARL,Services,TPE,3367775.23,6,2017-11-24,Casablanca,"Zone Industrielle, N° 325, Route de Gallet, Casablanca, Maroc",0522282480,contact@societemaghrebdelogistique.ma,Actif,1,10
4,608079792000031,Société Bahia de Holding SNC,SARL,Services,TPE,4185253.33,5,2019-08-22,Casablanca,"Zone Industrielle, N° 271, Route de Saint Jeannenec, Casablanca, Maroc",0522324082,contact@societebahiadeholding.ma,Actif,1,11
5,610173760000088,Afric Aménagement SARL AU,SARL,BTP,PME,31959708.47,179,2011-03-01,Casablanca,"Zone Industrielle, N° 135, Route de Saint Éric, Casablanca, Maroc",0522148458,contact@africamenagement.ma,Actif,1,10
6,906341966000023,Société Zilis de Entreprise SA,SARL,Tourisme,PME,11918681.77,116,2012-03-21,Casablanca,"Zone Industrielle, N° 12, Route de Rey, Casablanca, Maroc",0522821024,contact@societezilisdeentreprise.ma,Actif,1,11
7,440696084000066,Société Chaouia de Industrie SARL,SARL,Industrie,PME,25789908.0,188,2019-11-17,Casablanca,"Zone Industrielle, N° 314, Route de MarionVille, Casablanca, Maroc",0522686075,contact@societechaouiadeindustrie.ma,Actif,1,10
8,659741412000072,Société Marocaine de Security SNC,SARL,Services,PME,73331026.32,139,2012-11-09,Casablanca,"Zone Industrielle, N° 408, Route de Philippenec, Casablanca, Maroc",0522903013,contact@societemarocainedesecurity.ma,Actif,1,11
9,845122940000029,Saiss Construction SA,SNC,BTP,PME,31086757.46,29,2007-03-05,Casablanca,"Zone Industrielle, N° 206, Route de Pons, Casablanca, Maroc",0522342495,contact@saissconstruction.ma,Actif,1,10
10,922050912000083,Atlas Logistique SNC,SA,Services,PME,11101740.82,114,2017-10-23,Casablanca,"Zone Industrielle, N° 448, Route de Lopes-sur-Robert, Casablanca, Maroc",0522120480,contact@atlaslogistique.ma,Actif,1,11
11,621454127000013,Riad Holding SNC,SA,Services,TPE,128890.81,6,2012-08-08,Casablanca,"Zone Industrielle, N° 233, Route de Rocher, Casablanca, Maroc",0522386193,contact@riadholding.ma,Actif,1,10
12,190137896000092,Union Agrumes SNC,SARL,Agriculture,TPE,3377480.74,7,2017-10-19,Casablanca,"Zone Industrielle, N° 23, Route de Leblanc-la-Forêt, Casablanca, Maroc",0522795205,contact@unionagrumes.ma,Actif,1,11
13,370874491000020,Chaouia Négoce SNC,SARL,Commerce,TPE,4347571.64,3,2017-05-25,Casablanca,"Zone Industrielle, N° 225, Route de Fabre, Casablanca, Maroc",0522972335,contact@chaouianegoce.ma,Actif,1,10
14,263619298000040,Somibat Entreprise SARL AU,SA,Éducation,TPE,3770218.88,1,2012-04-27,Casablanca,"Zone Industrielle, N° 328, Route de Henry, Casablanca, Maroc",0522121369,contact@somibatentreprise.ma,Actif,1,11
15,127571992000049,Maghreb Textile SARL AU,SARL,Industrie,TPE,3380348.34,4,2008-03-10,Casablanca,"Zone Industrielle, N° 306, Route de Sainte Étienneboeuf, Casablanca, Maroc",0522213349,contact@maghrebtextile.ma,Actif,1,10
