id_souscription,id_entreprise,id_solution,date_souscription,statut,niveau_utilisation
1,1,1,2022-04-06,ACTIF,FAIBLE
2,1,5,2022-02-11,ACTIF,ELEVE
3,2,1,2022-02-17,ACTIF,ELEVE
4,2,2,2022-04-24,ACTIF,MOYEN
5,2,3,2022-08-09,ACTIF,FAIBLE
6,2,4,2022-12-10,ACTIF,MOYEN
7,3,2,2022-02-04,ACTIF,FAIBLE
8,3,4,2022-08-29,ACTIF,ELEVE
9,5,1,2022-06-25,ACTIF,MOYEN
10,5,4,2022-06-21,RESILIE,MOYEN
11,5,5,2022-10-28,RESILIE,ELEVE
12,6,2,2022-08-12,ACTIF,ELEVE
13,6,5,2022-06-22,ACTIF,ELEVE
14,7,3,2022-08-18,ACTIF,FAIBLE
15,8,3,2022-10-12,ACTIF,ELEVE
16,8,5,2022-03-20,ACTIF,MOYEN
17,9,3,2022-02-27,ACTIF,ELEVE
18,10,1,2022-07-30,ACTIF,ELEVE
19,10,2,2022-03-31,ACTIF,FAIBLE
20,11,3,2022-11-03,ACTIF,FAIBLE
21,13,3,2022-01-31,RESILIE,FAIBLE
22,14,1,2022-07-08,ACTIF,ELEVE
23,14,2,2022-04-23,ACTIF,ELEVE
24,14,3,2022-11-24,ACTIF,MOYEN
25,15,2,2022-10-05,ACTIF,ELEVE
26,16,3,2022-10-25,ACTIF,FAIBLE
27,16,5,2022-01-22,ACTIF,MOYEN
28,17,5,2022-11-22,ACTIF,MOYEN
29,18,2,2022-02-27,ACTIF,ELEVE
30,18,5,2022-05-28,ACTIF,FAIBLE
31,19,2,2022-07-16,ACTIF,MOYEN
32,20,2,2022-07-30,ACTIF,MOYEN
33,21,1,2022-05-01,ACTIF,MOYEN
34,21,2,2022-12-13,ACTIF,FAIBLE
35,21,3,2022-11-14,ACTIF,FAIBLE
36,22,3,2022-06-08,ACTIF,MOYEN
37,22,4,2022-09-01,ACTIF,FAIBLE
38,23,1,2022-01-24,ACTIF,FAIBLE
39,25,2,2022-11-13,ACTIF,ELEVE
40,26,2,2022-08-29,ACTIF,FAIBLE
41,27,2,2022-02-13,ACTIF,ELEVE
42,27,5,2022-01-20,ACTIF,ELEVE
43,29,2,2022-12-20,ACTIF,FAIBLE
44,29,3,2022-12-21,ACTIF,ELEVE
45,29,4,2022-04-07,ACTIF,ELEVE
46,30,3,2022-05-07,ACTIF,FAIBLE
47,30,4,2022-08-27,ACTIF,ELEVE
48,30,5,2022-06-17,ACTIF,ELEVE
49,32,2,2022-10-25,ACTIF,FAIBLE
50,32,4,2022-07-01,ACTIF,ELEVE
51,32,5,2022-05-14,ACTIF,MOYEN
52,33,1,2022-09-17,ACTIF,MOYEN
53,33,5,2022-09-30,ACTIF,ELEVE
54,34,1,2022-09-07,ACTIF,MOYEN
55,34,4,2022-10-12,ACTIF,MOYEN
56,35,1,2022-08-31,ACTIF,MOYEN
57,36,2,2022-06-02,ACTIF,ELEVE
58,36,4,2022-07-18,ACTIF,ELEVE
59,37,2,2022-11-18,ACTIF,MOYEN
60,37,5,2022-05-01,ACTIF,MOYEN
61,38,2,2022-03-13,ACTIF,MOYEN
62,38,4,2022-07-02,ACTIF,ELEVE
63,39,1,2022-06-08,ACTIF,FAIBLE
64,39,2,2022-10-20,ACTIF,ELEVE
65,40,2,2022-12-03,ACTIF,ELEVE
66,41,4,2022-04-30,ACTIF,FAIBLE
67,42,1,2022-07-05,ACTIF,FAIBLE
68,42,2,2022-10-12,ACTIF,MOYEN
69,42,4,2022-07-12,ACTIF,MOYEN
70,42,5,2022-01-24,ACTIF,MOYEN
71,43,1,2022-08-05,ACTIF,FAIBLE
72,43,2,2022-06-01,ACTIF,ELEVE
73,44,1,2022-07-05,ACTIF,ELEVE
74,44,4,2022-11-05,ACTIF,FAIBLE
75,46,4,2022-02-28,RESILIE,MOYEN
76,48,2,2022-06-28,ACTIF,ELEVE
77,48,5,2022-05-07,ACTIF,ELEVE
78,49,5,2022-11-24,ACTIF,FAIBLE
79,50,2,2022-10-31,ACTIF,ELEVE
80,50,3,2022-10-01,ACTIF,FAIBLE
81,50,5,2022-11-05,ACTIF,ELEVE
82,51,1,2022-06-22,ACTIF,ELEVE
83,51,2,2022-12-26,ACTIF,FAIBLE
84,52,2,2022-12-11,ACTIF,MOYEN
85,52,5,2022-07-29,ACTIF,MOYEN
86,53,1,2022-01-25,ACTIF,MOYEN
87,53,5,2022-06-21,RESILIE,FAIBLE
